[2019-09-09 08:54:58,055] [base.py:93] [base:get_response] [WARNING]- Not Found: /
[2019-09-09 08:54:58,059] [runserver.py:149] [runserver:log_action] [WARNING]- HTTP GET / 404 [0.34, 127.0.0.1:2959]
[2019-09-09 08:54:58,772] [base.py:93] [base:get_response] [WARNING]- Not Found: /favicon.ico
[2019-09-09 08:54:58,825] [runserver.py:149] [runserver:log_action] [WARNING]- HTTP GET /favicon.ico 404 [0.07, 127.0.0.1:2959]
[2019-09-09 08:55:03,140] [runserver.py:141] [runserver:log_action] [INFO]- HTTP GET /index/ 200 [0.11, 127.0.0.1:2959]
[2019-09-09 08:55:03,176] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.01, 127.0.0.1:2959]
[2019-09-09 08:55:03,179] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:2958]
[2019-09-09 08:55:04,218] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/10.jpg 304 [0.01, 127.0.0.1:2959]
[2019-09-09 08:55:04,221] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/9.jpg 304 [0.02, 127.0.0.1:2958]
[2019-09-09 08:55:04,289] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/23.jpg 304 [0.04, 127.0.0.1:2958]
[2019-09-09 08:55:04,297] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/21.jpg 304 [0.02, 127.0.0.1:2959]
[2019-09-09 08:55:04,301] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/24.jpg 304 [0.02, 127.0.0.1:2969]
[2019-09-09 08:55:04,305] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/26.jpg 304 [0.02, 127.0.0.1:2970]
[2019-09-09 08:55:04,307] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/25.jpg 304 [0.01, 127.0.0.1:2971]
[2019-09-09 08:55:04,348] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/27.jpg 304 [0.05, 127.0.0.1:2972]
[2019-09-09 08:55:04,382] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/29.jpg 304 [0.07, 127.0.0.1:2958]
[2019-09-09 08:55:04,384] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/28.jpg 304 [0.07, 127.0.0.1:2959]
[2019-09-09 08:55:04,394] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/31.jpg 304 [0.04, 127.0.0.1:2971]
[2019-09-09 08:55:04,398] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/30.jpg 304 [0.05, 127.0.0.1:2970]
[2019-09-09 08:55:04,400] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/32.jpg 304 [0.05, 127.0.0.1:2969]
[2019-09-09 08:55:04,440] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/35.jpg 304 [0.03, 127.0.0.1:2969]
[2019-09-09 08:55:04,444] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/34.jpg 304 [0.02, 127.0.0.1:2971]
[2019-09-09 08:55:04,446] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/goods/33.jpg 304 [0.02, 127.0.0.1:2970]
[2019-09-09 08:55:04,448] [runserver.py:145] [runserver:log_action] [INFO]- HTTP GET /static/index/1.png 304 [0.02, 127.0.0.1:2958]
